Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
18,Gus Edwards,BAL,10,48,0,1,45,4.5,3,0.3,0,,EdwaGu00
18,Tyler Huntley,BAL,8,40,0,2,40,5.0,0,0.0,0,,HuntTy01
18,Melvin Gordon,BAL,7,18,0,1,18,2.6,0,0.0,0,,GordMe00
17,Kenneth Walker III,SEA,10,53,1,3,22,2.2,31,3.1,2,5.0,WalkKe00
17,Geno Smith,SEA,3,33,0,1,33,11.0,0,0.0,0,,SmitGe00
17,Zach Charbonnet,SEA,2,2,0,0,-2,-1.0,4,2.0,1,2.0,CharZa00
16,Joe Mixon,CIN,11,43,0,3,27,2.5,16,1.5,0,,MixoJo00
16,Chase Brown,CIN,4,16,0,,9,2.3,7,1.8,0,,BrowCh10
16,Jake Browning,CIN,1,0,0,0,0,0.0,0,0.0,0,,BrowJa08
15,Trey Sermon,IND,17,88,0,5,30,1.8,58,3.4,3,5.7,SermTr00
15,Tyler Goodson,IND,11,69,0,3,45,4.1,24,2.2,0,,GoodTy00
15,Zack Moss,IND,4,13,0,1,7,1.8,6,1.5,0,,MossZa00
15,Gardner Minshew II,IND,2,0,0,0,0,0.0,0,0.0,0,,MinsGa00
14,Ezekiel Elliott,NWE,22,68,0,2,19,0.9,49,2.2,3,7.3,ElliEz00
14,Bailey Zappe,NWE,3,13,0,1,13,4.3,0,0.0,0,,ZappBa00